name,michelin_award,city,cuisine1,cuisine2,lon,lat,description,cuisine
Fu Chun Ju,1,Beijing,Cantonese,,116.403739,39.922423,"Designed by the German architect Ole Scheeren, this dining room",
Fu He Hui,1,Shanghai,Vegetarian,,121.425095,31.22046,"Exuding Zen-inspired serenity, the room reflects a philosophy that",Vegetarian
Fu He Hui,1,Shanghai,Vegetarian,,121.425095,31.22046,"Exuding Zen-inspired serenity, the room reflects a philosophy that",
Fu Ho,1,Hong Kong,Cantonese,,114.1720828,22.3006247,"Thanks to his considerable experience, the head chef has been",Cantonese
Fu Ho,1,Hong Kong,Cantonese,,114.1720828,22.3006247,"Thanks to his considerable experience, the head chef has been",
Fujin Tree Taiwanese Cuisine & Champagne (Songshan),1,Taipei,Taiwanese,,121.55264,25.05644,If you think champagne doesn’t go well with Taiwanese,Taiwanese
Fujin Tree Taiwanese Cuisine & Champagne (Songshan),1,Taipei,Taiwanese,,121.55264,25.05644,If you think champagne doesn’t go well with Taiwanese,
Fujiya 1935,2,Osaka,Innovative,,135.511871,34.683037,Owner-chef Tetsuya Fujiwara aspires to “a dining table of,Innovative
Fujiya 1935,2,Osaka,Innovative,,135.511871,34.683037,Owner-chef Tetsuya Fujiwara aspires to “a dining table of,
Funaokayama Shimizu,1,Kyoto,Japanese,,135.7445465,35.0390582,"The owner-chef spares no effort, checking the ingredients with",Japanese
Funaokayama Shimizu,1,Kyoto,Japanese,,135.7445465,35.0390582,"The owner-chef spares no effort, checking the ingredients with",
Furong,1,Beijing,Hunanese,,116.35324,39.916154,"Named after the provincial flower of Hunan, it makes perfect",Hunanese
Furong,1,Beijing,Hunanese,,116.35324,39.916154,"Named after the provincial flower of Hunan, it makes perfect",
G Pousada,1,Bragança,Regional Cuisine,,-6.7541046,41.8026186,The best option for getting to know the contemporary cuisine,Regional Cuisine
G Pousada,1,Bragança,Regional Cuisine,,-6.7541046,41.8026186,The best option for getting to know the contemporary cuisine,
G.a. au Manoir de Rétival,1,Caudebec-en-Caux,Modern Cuisine,Creative,0.7330455,49.5250364,The Manoir provides a lavish setting for this ‘gastro table,Modern Cuisine
G.a. au Manoir de Rétival,1,Caudebec-en-Caux,Modern Cuisine,Creative,0.7330455,49.5250364,The Manoir provides a lavish setting for this ‘gastro table,Creative
GINZA OKUDA,1,Tokyo,Japanese,,139.763076,35.671401,The menu emphasises the season and textures of the ingredients,Japanese
GINZA OKUDA,1,Tokyo,Japanese,,139.763076,35.671401,The menu emphasises the season and textures of the ingredients,
GOLVET,1,Berlin,Creative,,13.3676288,52.5055114,"GOLVET offers an impressive view over Potsdamer Platz, a stylish",Creative
GOLVET,1,Berlin,Creative,,13.3676288,52.5055114,"GOLVET offers an impressive view over Potsdamer Platz, a stylish",
Gaa,1,Bangkok,Innovative,,100.5781812,13.7272726,"Outside traditional, inside contemporary, Gaa’s location mirrors Chef Garima",Innovative
Gaa,1,Bangkok,Innovative,,100.5781812,13.7272726,"Outside traditional, inside contemporary, Gaa’s location mirrors Chef Garima",
Gabbiano 3.0,1,Marina di Grosseto,Creative,,10.9836869,42.7137124,"In summer, this restaurant has the feel of a bridge",Creative
Gabbiano 3.0,1,Marina di Grosseto,Creative,,10.9836869,42.7137124,"In summer, this restaurant has the feel of a bridge",
Gabelspiel,1,Munich,Modern Cuisine,Market Cuisine,11.5777467,48.1136353,This is a delightfully friendly restaurant: you can sense the,Modern Cuisine
Gabelspiel,1,Munich,Modern Cuisine,Market Cuisine,11.5777467,48.1136353,This is a delightfully friendly restaurant: you can sense the,Market Cuisine
Gabriel Kreuther,2,New York,Contemporary,Alsatian,-73.982025,40.75397,"Distinctively housed at the base of the Grace building, this",Contemporary
Gabriel Kreuther,2,New York,Contemporary,Alsatian,-73.982025,40.75397,"Distinctively housed at the base of the Grace building, this",Alsatian
Gaddi's,1,Hong Kong,French,,114.17179,22.294992,This grand restaurant opened in 1953 and now occupies what,French
Gaddi's,1,Hong Kong,French,,114.17179,22.294992,This grand restaurant opened in 1953 and now occupies what,
Gagini Restaurant,1,Palermo,Creative,Contemporary,13.3661693,38.1184907,"Situated between the Vucciria and the small Cala port, this",Creative
Gagini Restaurant,1,Palermo,Creative,Contemporary,13.3661693,38.1184907,"Situated between the Vucciria and the small Cala port, this",Contemporary
Galleria Arté al Lago,1,Lugano,Modern Cuisine,,8.9702949,46.0050531,"Modern, impeccably presented cuisine with a Mediterranean influence and a",Modern Cuisine
Galleria Arté al Lago,1,Lugano,Modern Cuisine,,8.9702949,46.0050531,"Modern, impeccably presented cuisine with a Mediterranean influence and a",
Galvin La Chapelle,1,London,French,,-0.0783716,51.520295,It might be smaller than the glass-fronted office buildings,French
Galvin La Chapelle,1,London,French,,-0.0783716,51.520295,It might be smaller than the glass-fronted office buildings,
Gambero Rosso,1,Marina di Gioiosa Ionica,Seafood,,16.3276783,38.2990691,"Fish lovers will enjoy this restaurant, which is one of",Seafood
Gambero Rosso,1,Marina di Gioiosa Ionica,Seafood,,16.3276783,38.2990691,"Fish lovers will enjoy this restaurant, which is one of",
Gaon,3,SEOUL,Korean,,127.03595,37.52265,Rooted in the time-tested wisdom of traditional Korean cuisine,Korean
Gaon,3,SEOUL,Korean,,127.03595,37.52265,Rooted in the time-tested wisdom of traditional Korean cuisine,
Gardenia,1,Caluso,Modern Cuisine,,7.8896044,45.3034572,"For 15 years, Mariangela has foraged for wild herbs and",Modern Cuisine
Gardenia,1,Caluso,Modern Cuisine,,7.8896044,45.3034572,"For 15 years, Mariangela has foraged for wild herbs and",
Garena,1,Dima,Contemporary,,-2.7659276,43.1295799,Garena occupies a delightful “baserri” (traditional country house) in an,Contemporary
Garena,1,Dima,Contemporary,,-2.7659276,43.1295799,Garena occupies a delightful “baserri” (traditional country house) in an,
Garibaldi,1,Singapore,Italian,,103.855,1.296564,"Ossobuco, costoletta alla Milanese and tiramisu are some of the",Italian
Garibaldi,1,Singapore,Italian,,103.855,1.296564,"Ossobuco, costoletta alla Milanese and tiramisu are some of the",
Gary Danko,1,San Francisco,Contemporary,,-122.4206863,37.8058115,"The elite meet to eat at this throwback favorite, which",Contemporary
Gary Danko,1,San Francisco,Contemporary,,-122.4206863,37.8058115,"The elite meet to eat at this throwback favorite, which",
Gasthaus Jakob,1,Perasdorf,Classic Cuisine,Modern Cuisine,12.8257045,48.9672822,Although it’s not easy to find this little 250,Classic Cuisine
Gasthaus Jakob,1,Perasdorf,Classic Cuisine,Modern Cuisine,12.8257045,48.9672822,Although it’s not easy to find this little 250,Modern Cuisine
Gasthaus Zum Gupf,1,Rehetobel,Classic French,Traditional Cuisine,9.4917067,47.4303814,The climb up to 1 083m to reach this restaurant,Classic French
Gasthaus Zum Gupf,1,Rehetobel,Classic French,Traditional Cuisine,9.4917067,47.4303814,The climb up to 1 083m to reach this restaurant,Traditional Cuisine
Gasthaus Zur Fernsicht - Incantare,2,Heiden,Classic Cuisine,Creative,9.5319821,47.4460884,A stunningly located feast for the senses that is so,Classic Cuisine
Gasthaus Zur Fernsicht - Incantare,2,Heiden,Classic Cuisine,Creative,9.5319821,47.4460884,A stunningly located feast for the senses that is so,Creative
Gasthaus zum Kreuz,1,Dallenwil,Classic Cuisine,Traditional Cuisine,8.390924,46.9318556,"The oldest restaurant in the Engelberg valley, Gasthaus zum Kreuz",Classic Cuisine
Gasthaus zum Kreuz,1,Dallenwil,Classic Cuisine,Traditional Cuisine,8.390924,46.9318556,"The oldest restaurant in the Engelberg valley, Gasthaus zum Kreuz",Traditional Cuisine
Gasthaus zum Raben,1,Horben,Classic French,International,7.858809,47.9339331,"An inn in the best sense of the word, Zum",Classic French
Gasthaus zum Raben,1,Horben,Classic French,International,7.858809,47.9339331,"An inn in the best sense of the word, Zum",International
Gasthof Krone,1,Waldenbuch,Classic Cuisine,,9.1323653,48.6382832,This lovely 500 year-old inn serves good classic cuisine,Classic Cuisine
Gasthof Krone,1,Waldenbuch,Classic Cuisine,,9.1323653,48.6382832,This lovely 500 year-old inn serves good classic cuisine,
Gasthof zum Bad,1,Langenau,Market Cuisine,Classic Cuisine,10.1245163,48.5000851,Whether you choose the classic cuisine with a modern twist,Market Cuisine
Gasthof zum Bad,1,Langenau,Market Cuisine,Classic Cuisine,10.1245163,48.5000851,Whether you choose the classic cuisine with a modern twist,Classic Cuisine
Gastrologik,2,Stockholm,Creative,,18.0808749,59.3336953,Working exclusively with Swedish produce has allowed the two chef,Creative
Gastrologik,2,Stockholm,Creative,,18.0808749,59.3336953,Working exclusively with Swedish produce has allowed the two chef,
Gastromé,1,Aarhus,Modern Cuisine,,10.2100197,56.1578088,"This intimate, keenly run Latin Quarter restaurant features a semi",Modern Cuisine
Gastromé,1,Aarhus,Modern Cuisine,,10.2100197,56.1578088,"This intimate, keenly run Latin Quarter restaurant features a semi",
Gaya par Pierre Gagnaire,1,Paris,Modern Cuisine,Seafood,2.324087,48.8564337,In the former premises of La Ferme Saint-Simon (an,Modern Cuisine
Gaya par Pierre Gagnaire,1,Paris,Modern Cuisine,Seafood,2.324087,48.8564337,In the former premises of La Ferme Saint-Simon (an,Seafood
Gaytán,1,Madrid,Modern Cuisine,,-3.6783632,40.4493113,A gastronomic space designed to cause a stir! The designer,Modern Cuisine
Gaytán,1,Madrid,Modern Cuisine,,-3.6783632,40.4493113,A gastronomic space designed to cause a stir! The designer,
Gellius,1,Oderzo,Modern Cuisine,,12.4946107,45.7828798,Modern and occasionally creative cuisine served in a unique setting,Modern Cuisine
Gellius,1,Oderzo,Modern Cuisine,,12.4946107,45.7828798,Modern and occasionally creative cuisine served in a unique setting,
Genießer Stube,1,Friedland,Classic Cuisine,,9.9186842,51.4189041,It is pleasant to sit back in this tasteful Stube,Classic Cuisine
Genießer Stube,1,Friedland,Classic Cuisine,,9.9186842,51.4189041,It is pleasant to sit back in this tasteful Stube,
Genuss-Apotheke,1,Bad Säckingen,Creative,Modern Cuisine,7.9480494,47.551733,"Fresh, modern design that works! Diners sit at beautifully laid",Creative
Genuss-Apotheke,1,Bad Säckingen,Creative,Modern Cuisine,7.9480494,47.551733,"Fresh, modern design that works! Diners sit at beautifully laid",Modern Cuisine
Genuss-Atelier,1,Dresden,Modern Cuisine,Creative,13.7761321,51.0676539,Housed in the cosy and intimate vaulted cellar of a,Modern Cuisine
Genuss-Atelier,1,Dresden,Modern Cuisine,Creative,13.7761321,51.0676539,Housed in the cosy and intimate vaulted cellar of a,Creative
Genyadana Hamadaya,1,Tokyo,Japanese,,139.782799,35.687138,This established ryotei is tucked away in an area associated,Japanese
Genyadana Hamadaya,1,Tokyo,Japanese,,139.782799,35.687138,This established ryotei is tucked away in an area associated,
George Restaurant,1,Naples,Contemporary,,14.2300686,40.8372677,This chef has come home to Naples after years of,Contemporary
George Restaurant,1,Naples,Contemporary,,14.2300686,40.8372677,This chef has come home to Naples after years of,
Georges Blanc,3,Vonnas,Classic Cuisine,,4.989383,46.219982,The food writer Curnonsky once dubbed Georges Blanc’s grandmother,Classic Cuisine
Georges Blanc,3,Vonnas,Classic Cuisine,,4.989383,46.219982,The food writer Curnonsky once dubbed Georges Blanc’s grandmother,
Geranium,3,Copenhagen,Creative,Contemporary,12.5725289,55.7040847,This luxurious restaurant is unusually located on the 8th floor,Creative
Geranium,3,Copenhagen,Creative,Contemporary,12.5725289,55.7040847,This luxurious restaurant is unusually located on the 8th floor,Contemporary
Giglio,1,Lucca,Modern Cuisine,,10.5032438,43.8410854,A long-established restaurant in a beautiful 18C palazzo in,Modern Cuisine
Giglio,1,Lucca,Modern Cuisine,,10.5032438,43.8410854,A long-established restaurant in a beautiful 18C palazzo in,
Ginza Adachi Naoto,1,Tokyo,Japanese,,139.7619893,35.6697022,The owner-chef employs techniques he learned at a ryotei,Japanese
Ginza Adachi Naoto,1,Tokyo,Japanese,,139.7619893,35.6697022,The owner-chef employs techniques he learned at a ryotei,
Ginza Fujiyama,1,Tokyo,Japanese,,139.765523,35.67312,Takao Fujiyama says that Kyo-ryori is rooted in the,Japanese
Ginza Fujiyama,1,Tokyo,Japanese,,139.765523,35.67312,Takao Fujiyama says that Kyo-ryori is rooted in the,
Ginza Fukuju,2,Tokyo,Japanese,,139.7615306,35.6685588,Katsuhiro Onodera is very well versed in traditional Japanese culture,Japanese
Ginza Fukuju,2,Tokyo,Japanese,,139.7615306,35.6685588,Katsuhiro Onodera is very well versed in traditional Japanese culture,
Ginza Kitafuku,1,Tokyo,Crab Specialities,,139.761134,35.670099,Enjoy the delights of crab in all sorts of ways,Crab Specialities
Ginza Kitafuku,1,Tokyo,Crab Specialities,,139.761134,35.670099,Enjoy the delights of crab in all sorts of ways,
Ginza Kojyu,2,Tokyo,Japanese,,139.7631055,35.6713964,Toru Okuda fills serving dishes made by modern artists with,Japanese
Ginza Kojyu,2,Tokyo,Japanese,,139.7631055,35.6713964,Toru Okuda fills serving dishes made by modern artists with,
Ginza Shinohara,2,Tokyo,Japanese,,139.767805,35.673039,Takemasa Shinohara’s hassun recollects the Shiga countryside where he,Japanese
Ginza Shinohara,2,Tokyo,Japanese,,139.767805,35.673039,Takemasa Shinohara’s hassun recollects the Shiga countryside where he,
Ginza Sushi Ichi,1,Bangkok,Sushi,,100.54092,13.744069,"Centrally located in the Erawan mall, this sushi restaurant belongs",Sushi
Ginza Sushi Ichi,1,Bangkok,Sushi,,100.54092,13.744069,"Centrally located in the Erawan mall, this sushi restaurant belongs",
Ginza Toyoda,1,Tokyo,Japanese,,139.76171,35.670061,Seiji Funashima brings you the tastes of the season without,Japanese
Ginza Toyoda,1,Tokyo,Japanese,,139.76171,35.670061,Seiji Funashima brings you the tastes of the season without,
Ginza Yamanobe Edo Chuka,1,Tokyo,Chinese,,139.762726,35.670456,"The concept here is ‘Edo-style Chinese’, making use of",Chinese
Ginza Yamanobe Edo Chuka,1,Tokyo,Chinese,,139.762726,35.670456,"The concept here is ‘Edo-style Chinese’, making use of",
Gion Fukushi,1,Kyoto,Japanese,,135.7743695,35.0021358,The owner-chef honed his skills at established ryotei in,Japanese
Gion Fukushi,1,Kyoto,Japanese,,135.7743695,35.0021358,The owner-chef honed his skills at established ryotei in,
Gion Iwasaki,1,Kyoto,Japanese,,135.7762754,35.0025761,The theme here is ‘Kyo-ryori and champagne’. The focus,Japanese
Gion Iwasaki,1,Kyoto,Japanese,,135.7762754,35.0025761,The theme here is ‘Kyo-ryori and champagne’. The focus,
Gion Kajisho,1,Kyoto,Japanese,,135.775145,35.002705,"The owner-chef is from Nagasaki, so weaves the flavours",Japanese
Gion Kajisho,1,Kyoto,Japanese,,135.775145,35.002705,"The owner-chef is from Nagasaki, so weaves the flavours",
Gion Kida,1,Kyoto,Japanese,,135.7761134,35.0025444,"At this counter-style kappo restaurant, the owner-chef himself",Japanese
Gion Kida,1,Kyoto,Japanese,,135.7761134,35.0025444,"At this counter-style kappo restaurant, the owner-chef himself",
Gion Mamma,1,Kyoto,Japanese,,135.775741,35.00503,Immediately catching your eye is the big sunken fireplace: the,Japanese
Gion Mamma,1,Kyoto,Japanese,,135.775741,35.00503,Immediately catching your eye is the big sunken fireplace: the,
Gion Maruyama,2,Kyoto,Japanese,,135.776065,35.002654,The owner-chef places value on the traditional culture of,Japanese
Gion Maruyama,2,Kyoto,Japanese,,135.776065,35.002654,The owner-chef places value on the traditional culture of,
Gion Matayoshi,2,Kyoto,Japanese,,135.7745641,35.0033724,"Owner-chef Kazutomo Matayoshi scours Japan, from Hokkaido to his",Japanese
Gion Matayoshi,2,Kyoto,Japanese,,135.7745641,35.0033724,"Owner-chef Kazutomo Matayoshi scours Japan, from Hokkaido to his",
Gion Nishikawa,2,Kyoto,Japanese,,135.778857,34.999797,The interior is painstakingly crafted in the style of a,Japanese
Gion Nishikawa,2,Kyoto,Japanese,,135.778857,34.999797,The interior is painstakingly crafted in the style of a,
Gion Nishimura,1,Kyoto,Japanese,,135.775807,35.00274,Sit at the counter and you can chat with the,Japanese
Gion Nishimura,1,Kyoto,Japanese,,135.775807,35.00274,Sit at the counter and you can chat with the,
Gion Okada,1,Kyoto,Japanese,,135.77544,35.002419,This counter-style kappo restaurant is at the centre of,Japanese
Gion Okada,1,Kyoto,Japanese,,135.77544,35.002419,This counter-style kappo restaurant is at the centre of,
Gion Owatari,2,Kyoto,Japanese,,135.777074,35.001444,Owner-chef Mahito Owatari’s approach is about bringing original,Japanese
Gion Owatari,2,Kyoto,Japanese,,135.777074,35.001444,Owner-chef Mahito Owatari’s approach is about bringing original,
Gion Sasaki,3,Kyoto,Japanese,,135.774997,34.998895,Owner-chef Hiroshi Sasaki pursues dishes that are at once,Japanese
Gion Sasaki,3,Kyoto,Japanese,,135.774997,34.998895,Owner-chef Hiroshi Sasaki pursues dishes that are at once,
Gion Sushi Tadayasu,1,Kyoto,Sushi,,135.774586,35.003447,The owner-chef opened here in Gion after learning Edomae,Sushi
Gion Sushi Tadayasu,1,Kyoto,Sushi,,135.774586,35.003447,The owner-chef opened here in Gion after learning Edomae,
Girardin - Gastronomique,1,Colmar,Modern Cuisine,Creative,7.3554652,48.0786834,Built in the 17C on the vestiges of Colmar's,Modern Cuisine
Girardin - Gastronomique,1,Colmar,Modern Cuisine,Creative,7.3554652,48.0786834,Built in the 17C on the vestiges of Colmar's,Creative
Già Sotto l'Arco,1,Carovigno,Creative,,17.6590721,40.7071485,Set in a fine Baroque building in the main square,Creative
Già Sotto l'Arco,1,Carovigno,Creative,,17.6590721,40.7071485,Set in a fine Baroque building in the main square,
Glam Enrico Bartolini,2,Venice,Creative,Contemporary,12.3298209,45.4413057,Nestled between the two gardens of the Palazzo Venart hotel,Creative
Glam Enrico Bartolini,2,Venice,Creative,Contemporary,12.3298209,45.4413057,Nestled between the two gardens of the Palazzo Venart hotel,Contemporary
Glass Hostaria,1,Rome,Creative,Innovative,12.4691032,41.890477,"Situated in the heart of Trastevere, this restaurant boasts a",Creative
Glass Hostaria,1,Rome,Creative,Innovative,12.4691032,41.890477,"Situated in the heart of Trastevere, this restaurant boasts a",Innovative
Glicine,1,Amalfi,Mediterranean Cuisine,Italian Contemporary,14.59262,40.62956,"Dishes teeming with ingredients, colour and flavour provide a feast",Mediterranean Cuisine
Glicine,1,Amalfi,Mediterranean Cuisine,Italian Contemporary,14.59262,40.62956,"Dishes teeming with ingredients, colour and flavour provide a feast",Italian Contemporary
Glovers Alley,1,Dublin City,Modern Cuisine,,-6.2616367,53.3392185,Set in a prime spot on the second floor of,Modern Cuisine
Glovers Alley,1,Dublin City,Modern Cuisine,,-6.2616367,53.3392185,Set in a prime spot on the second floor of,
Godan Miyazawa,1,Kyoto,Japanese,,135.7609923,34.9979707,"While following the traditional flow of kaiseki, Masato Miyazawa adds",Japanese
Godan Miyazawa,1,Kyoto,Japanese,,135.7609923,34.9979707,"While following the traditional flow of kaiseki, Masato Miyazawa adds",
Goffin,1,Sint-Kruis,Modern Cuisine,,3.2417056,51.2119551,"Timothy Goffin, who works alone in the kitchen, has created",Modern Cuisine
Goffin,1,Sint-Kruis,Modern Cuisine,,3.2417056,51.2119551,"Timothy Goffin, who works alone in the kitchen, has created",
Gofio,1,Madrid,Regional Cuisine,,-3.6982452,40.4138512,A superb homage to the cuisine of the Canary Islands,Regional Cuisine
Gofio,1,Madrid,Regional Cuisine,,-3.6982452,40.4138512,A superb homage to the cuisine of the Canary Islands,
Gokomachi Tagawa,1,Kyoto,Japanese,,135.766361,35.014992,"Born and raised in Mie Prefecture, owner-chef Yoshiaki Tagawa",Japanese
Gokomachi Tagawa,1,Kyoto,Japanese,,135.766361,35.014992,"Born and raised in Mie Prefecture, owner-chef Yoshiaki Tagawa",
Goldberg,2,Fellbach,Modern Cuisine,International,9.2726039,48.8088952,"Goldberg's motto is ""in the here and now"". The",Modern Cuisine
Goldberg,2,Fellbach,Modern Cuisine,International,9.2726039,48.8088952,"Goldberg's motto is ""in the here and now"". The",International
Golden Formosa,1,Taipei,Taiwanese,,121.536248,25.118368,"In the 1960s, the family started serving heavily seasoned food",Taiwanese
Golden Formosa,1,Taipei,Taiwanese,,121.536248,25.118368,"In the 1960s, the family started serving heavily seasoned food",
Goldener Anker,1,Dorsten,Classic Cuisine,Modern Cuisine,6.9653019,51.6629504,Goldener Anker is every bit as popular as its entrepreneur,Classic Cuisine
Goldener Anker,1,Dorsten,Classic Cuisine,Modern Cuisine,6.9653019,51.6629504,Goldener Anker is every bit as popular as its entrepreneur,Modern Cuisine
Goosefoot,1,Chicago,Contemporary,French Contemporary,-87.6959706,41.9687073,This understated plate-glass façade may seem lost in a,Contemporary
Goosefoot,1,Chicago,Contemporary,French Contemporary,-87.6959706,41.9687073,This understated plate-glass façade may seem lost in a,French Contemporary
Gordon Ramsay au Trianon,1,Versailles,Creative,,2.1209203,48.8112259,"On the edge of the palace grounds, this restaurant has",Creative
Gordon Ramsay au Trianon,1,Versailles,Creative,,2.1209203,48.8112259,"On the edge of the palace grounds, this restaurant has",
Goryori Ken,1,SEOUL,Contemporary,Japanese Contemporary,127.03478,37.52298,"This intimate setting, with the main bar seating only eight",Contemporary
Goryori Ken,1,SEOUL,Contemporary,Japanese Contemporary,127.03478,37.52298,"This intimate setting, with the main bar seating only eight",Japanese Contemporary
Gosho Iwasaki,1,Kyoto,Japanese,,135.761643,35.016879,The owner-chef chose a small space with counter seating,Japanese
Gosho Iwasaki,1,Kyoto,Japanese,,135.761643,35.016879,The owner-chef chose a small space with counter seating,
Gostilna Pri Lojzetu,1,Vipava,Modern Cuisine,Contemporary,13.9491988,45.8557213,"Experience pure creativity in this restaurant, both in the way",Modern Cuisine
Gostilna Pri Lojzetu,1,Vipava,Modern Cuisine,Contemporary,13.9491988,45.8557213,"Experience pure creativity in this restaurant, both in the way",Contemporary
Gourmet Restaurant im Schlosshotel Münchhausen,1,Aerzen,Classic French,Mediterranean Cuisine,9.2523632,52.0690278,Dine in a stylish castle setting! After an aperitif in,Classic French
Gourmet Restaurant im Schlosshotel Münchhausen,1,Aerzen,Classic French,Mediterranean Cuisine,9.2523632,52.0690278,Dine in a stylish castle setting! After an aperitif in,Mediterranean Cuisine
Gourmet-Restaurant Der Butt,1,Rostock,Modern Cuisine,Creative,12.0992138,54.1792706,This is the place to come for modern dishes with,Modern Cuisine
Gourmet-Restaurant Der Butt,1,Rostock,Modern Cuisine,Creative,12.0992138,54.1792706,This is the place to come for modern dishes with,Creative
"Gourmetrestaurant ""fine dining RS""",1,Salach,French Contemporary,Modern Cuisine,9.7666002,48.6917367,Wonderful location at Staufeneck Castle with a great view of,French Contemporary
"Gourmetrestaurant ""fine dining RS""",1,Salach,French Contemporary,Modern Cuisine,9.7666002,48.6917367,Wonderful location at Staufeneck Castle with a great view of,Modern Cuisine
Gourmetrestaurant Berlins Krone,1,Bad Teinach-Zavelstein,Modern French,,8.689228,48.6939992,"Guests here enjoy Franz Berlin’s fine, classically modern cuisine",Modern French
Gourmetrestaurant Berlins Krone,1,Bad Teinach-Zavelstein,Modern French,,8.689228,48.6939992,"Guests here enjoy Franz Berlin’s fine, classically modern cuisine",
Gourmetrestaurant Dichter,1,Rottach-Egern,French Contemporary,Creative French,11.7542108,47.6938521,Head through the lobby of the Park-Hotel Egerner Höfe,French Contemporary
Gourmetrestaurant Dichter,1,Rottach-Egern,French Contemporary,Creative French,11.7542108,47.6938521,Head through the lobby of the Park-Hotel Egerner Höfe,Creative French
Gourmetrestaurant Dirk Maus,1,Heidesheim am Rhein,Classic French,Market Cuisine,8.1254645,49.9998906,Dirk Maus has found the perfect place to achieve his,Classic French
Gourmetrestaurant Dirk Maus,1,Heidesheim am Rhein,Classic French,Market Cuisine,8.1254645,49.9998906,Dirk Maus has found the perfect place to achieve his,Market Cuisine
Gourmetrestaurant Nico Burkhardt,1,Schorndorf,Modern French,Market Cuisine,9.528005,48.8062032,"A modern, elegant restaurant with a warm and intimate atmosphere",Modern French
Gourmetrestaurant Nico Burkhardt,1,Schorndorf,Modern French,Market Cuisine,9.528005,48.8062032,"A modern, elegant restaurant with a warm and intimate atmosphere",Market Cuisine
Gourmetstube Einhorn,2,Mauls,Creative,,11.5204481,46.8511074,"Peter Girtler, the chef at the Unicorn (Einhorn in German",Creative
Gourmetstube Einhorn,2,Mauls,Creative,,11.5204481,46.8511074,"Peter Girtler, the chef at the Unicorn (Einhorn in German",
Gramercy Tavern,1,New York,Contemporary,American,-73.988991,40.7387578,This fabled NY icon is high on most people's,Contemporary
Gramercy Tavern,1,New York,Contemporary,American,-73.988991,40.7387578,This fabled NY icon is high on most people's,American
Grammons Restaurant,1,Dortmund,Contemporary,Classic French,7.53532,51.52023,Dirk Grammon is the owner of this delightful bright and,Contemporary
Grammons Restaurant,1,Dortmund,Contemporary,Classic French,7.53532,51.52023,Dirk Grammon is the owner of this delightful bright and,Classic French
Grand Cru,1,Moscow,Modern Cuisine,,37.5949419,55.7630244,"Located near the Patriarch’s Ponds, this upmarket district of",Modern Cuisine
Grand Cru,1,Moscow,Modern Cuisine,,37.5949419,55.7630244,"Located near the Patriarch’s Ponds, this upmarket district of",
Grand Hôtel du Lion d'Or,1,Romorantin-Lanthenay,Modern Cuisine,,1.7438252,47.3602993,"This traditional cuisine has proved itself many times over, and",Modern Cuisine
Grand Hôtel du Lion d'Or,1,Romorantin-Lanthenay,Modern Cuisine,,1.7438252,47.3602993,"This traditional cuisine has proved itself many times over, and",
Graphite by Peter Gast,1,Amsterdam,Creative,,4.8982799,52.366685,Take the QR code you are given when you make,Creative
Graphite by Peter Gast,1,Amsterdam,Creative,,4.8982799,52.366685,Take the QR code you are given when you make,
Gravetye Manor,1,East Grinstead,Modern British,,-0.05691,51.08932,This quintessential country house is surrounded by 35 acres of,Modern British
Gravetye Manor,1,East Grinstead,Modern British,,-0.05691,51.08932,This quintessential country house is surrounded by 35 acres of,
Gravitas,1,Washington,Contemporary,American,-76.9845997,38.9146396,Chef Matt Baker is luring diners to Ivy City with,Contemporary
Gravitas,1,Washington,Contemporary,American,-76.9845997,38.9146396,Chef Matt Baker is luring diners to Ivy City with,American
Gregor's Fine Dining,1,Rötz,Classic Cuisine,Creative,12.4866918,49.3436599,"The elegant, upmarket interior decorated in warm colours and stylish",Classic Cuisine
Gregor's Fine Dining,1,Rötz,Classic Cuisine,Creative,12.4866918,49.3436599,"The elegant, upmarket interior decorated in warm colours and stylish",Creative
Grič,1,Horjul,Market Cuisine,,14.2216299,46.0283624,A strong connection with local traditions and the gastronomic heritage,Market Cuisine
Grič,1,Horjul,Market Cuisine,,14.2216299,46.0283624,A strong connection with local traditions and the gastronomic heritage,
Grön,1,Helsinki,Modern Cuisine,,24.9326985,60.1646073,A warmly run restaurant where the open kitchen is the,Modern Cuisine
Grön,1,Helsinki,Modern Cuisine,,24.9326985,60.1646073,A warmly run restaurant where the open kitchen is the,
Guarda Val,1,Lenzerheide,Regional Cuisine,Modern Cuisine,9.5403887,46.7115885,A 300-year-old former cow byre full of dark,Regional Cuisine
Guarda Val,1,Lenzerheide,Regional Cuisine,Modern Cuisine,9.5403887,46.7115885,A 300-year-old former cow byre full of dark,Modern Cuisine
Gucci Osteria da Massimo Bottura,1,Florence,Modern Cuisine,,11.2567125,43.7698043,The cuisine of theatrical chef Massimo Bottura has arrived in,Modern Cuisine
Gucci Osteria da Massimo Bottura,1,Florence,Modern Cuisine,,11.2567125,43.7698043,The cuisine of theatrical chef Massimo Bottura has arrived in,
Gucci Osteria da Massimo Bottura,1,Beverly Hills,Italian,Contemporary,-118.4024313,34.0683993,"Set amidst the luxury shops of Rodeo Drive, this osteria",Italian
Gucci Osteria da Massimo Bottura,1,Beverly Hills,Italian,Contemporary,-118.4024313,34.0683993,"Set amidst the luxury shops of Rodeo Drive, this osteria",Contemporary
